Date,Account Type,Account Name,Category,Revenue Amount,Expense Amount,COGS,Gross Profit,Operating Expenses,Operating Profit (EBIT),Net Profit,Current Assets,Non-Current Assets,Current Liabilities,Non-Current Liabilities,Equity,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Flow Category,Department,Region,Project,Currency,Budget Amount,Actual Amount
2018-01-31,Revenue,Maintenance Revenue,Operating,249367.77,0.0,144072.25,105295.52,0.0,105295.52,105295.52,0.0,0.0,0.0,0.0,0.0,230352.11,0.0,230352.11,Operating,Marketing,Africa,Digital Self-Service Portal,GBP,238697.35,249367.77
2018-01-31,Revenue,Product Sales,Operating,509849.03,0.0,218336.66,291512.37,0.0,291512.37,291512.37,0.0,0.0,0.0,0.0,0.0,471825.6,0.0,471825.6,Operating,Operations,Asia-Pacific,AI Sales Copilot,JPY,612940.78,509849.03
2018-01-31,Revenue,Subscription Revenue,Operating,526312.39,0.0,242838.63,283473.77,0.0,283473.77,283473.77,0.0,0.0,0.0,0.0,0.0,481270.37,0.0,481270.37,Operating,Sales,Asia-Pacific,AI Sales Copilot,JPY,552192.31,526312.39
2018-01-31,Revenue,Product Sales,Operating,329281.08,0.0,165890.23,163390.85,0.0,163390.85,163390.85,0.0,0.0,0.0,0.0,0.0,272411.33,0.0,272411.33,Operating,Marketing,North America,Product Launch Q3,USD,319531.39,329281.08
2018-01-31,Revenue,Subscription Revenue,Operating,302912.56,0.0,152393.29,150519.27,0.0,150519.27,150519.27,0.0,0.0,0.0,0.0,0.0,268356.31,0.0,268356.31,Operating,Sales,Middle East,Middle East Distributor Program,USD,329846.06,302912.56
2018-01-31,Revenue,Product Sales,Operating,298051.63,0.0,150278.36,147773.27,0.0,147773.27,147773.27,0.0,0.0,0.0,0.0,0.0,272986.0,0.0,272986.0,Operating,Operations,Asia-Pacific,APAC Growth 2023,JPY,362078.89,298051.63
2018-01-31,Revenue,Subscription Revenue,Operating,521136.37,0.0,280446.14,240690.23,0.0,240690.23,240690.23,0.0,0.0,0.0,0.0,0.0,457482.52,0.0,457482.52,Operating,Marketing,North America,Product Launch Q3,USD,523546.12,521136.37
2018-01-31,Revenue,Licensing Revenue,Non-Operating,304336.68,0.0,174670.42,129666.26,0.0,129666.26,129666.26,0.0,0.0,0.0,0.0,0.0,267141.3,0.0,267141.3,Operating,Marketing,Europe,Market Expansion Europe,EUR,341257.05,304336.68
2018-01-31,Revenue,Product Sales,Operating,472954.24,0.0,267880.29,205073.96,0.0,205073.96,205073.96,0.0,0.0,0.0,0.0,0.0,430674.12,0.0,430674.12,Operating,Operations,Europe,ERP Implementation,EUR,419026.25,472954.24
2018-01-31,Revenue,Subscription Revenue,Operating,421434.05,0.0,220152.83,201281.22,0.0,201281.22,201281.22,0.0,0.0,0.0,0.0,0.0,348005.9,0.0,348005.9,Operating,Sales,Asia-Pacific,AI Sales Copilot,JPY,406342.88,421434.05
2018-01-31,Revenue,Product Sales,Operating,437957.65,0.0,238767.13,199190.53,0.0,199190.53,199190.53,0.0,0.0,0.0,0.0,0.0,366848.47,0.0,366848.47,Operating,Sales,Europe,Market Expansion Europe,EUR,420292.18,437957.65
2018-01-31,Revenue,Product Sales,Operating,266397.79,0.0,148913.99,117483.8,0.0,117483.8,117483.8,0.0,0.0,0.0,0.0,0.0,238510.91,0.0,238510.91,Operating,Sales,Middle East,Middle East Distributor Program,USD,252270.25,266397.79
2018-01-31,Revenue,Subscription Revenue,Operating,197987.13,0.0,93688.97,104298.16,0.0,104298.16,104298.16,0.0,0.0,0.0,0.0,0.0,181375.87,0.0,181375.87,Operating,Sales,Africa,Digital Self-Service Portal,GBP,224461.73,197987.13
2018-01-31,Revenue,Licensing Revenue,Non-Operating,315170.05,0.0,144758.48,170411.57,0.0,170411.57,170411.57,0.0,0.0,0.0,0.0,0.0,262194.39,0.0,262194.39,Operating,Operations,Europe,Working Capital Optimization,EUR,325838.82,315170.05
2018-01-31,Revenue,Product Sales,Operating,511511.24,0.0,270355.16,241156.08,0.0,241156.08,241156.08,0.0,0.0,0.0,0.0,0.0,427573.65,0.0,427573.65,Operating,Sales,North America,New Pricing Model 2.0,USD,536211.37,511511.24
2018-01-31,Revenue,Licensing Revenue,Non-Operating,256613.38,0.0,140014.19,116599.18,0.0,116599.18,116599.18,0.0,0.0,0.0,0.0,0.0,210737.88,0.0,210737.88,Operating,Sales,Middle East,Digital Self-Service Portal,USD,271322.72,256613.38
2018-01-31,Revenue,Maintenance Revenue,Operating,291302.22,0.0,161443.69,129858.53,0.0,129858.53,129858.53,0.0,0.0,0.0,0.0,0.0,268529.19,0.0,268529.19,Operating,Sales,Europe,Debt Refinancing 2024,EUR,298556.75,291302.22
2018-01-31,Revenue,Product Sales,Operating,317229.31,0.0,169802.06,147427.25,0.0,147427.25,147427.25,0.0,0.0,0.0,0.0,0.0,286815.49,0.0,286815.49,Operating,Sales,Europe,ERP Implementation,EUR,271317.71,317229.31
2018-01-31,Revenue,Service Revenue,Operating,530112.04,0.0,266609.22,263502.82,0.0,263502.82,263502.82,0.0,0.0,0.0,0.0,0.0,474453.82,0.0,474453.82,Operating,Marketing,Asia-Pacific,APAC Growth 2023,JPY,651894.7,530112.04
2018-01-31,Revenue,Subscription Revenue,Operating,527347.26,0.0,222208.17,305139.08,0.0,305139.08,305139.08,0.0,0.0,0.0,0.0,0.0,448815.44,0.0,448815.44,Operating,Sales,Asia-Pacific,Cloud Migration,JPY,492382.86,527347.26
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,53250.77,0.0,0.0,53250.77,-53250.77,-53250.77,0.0,0.0,0.0,0.0,0.0,0.0,53250.77,-53250.77,Operating,Marketing,Africa,Working Capital Optimization,GBP,46601.95,53250.77
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,23917.2,0.0,0.0,23917.2,-23917.2,-23917.2,0.0,0.0,0.0,0.0,0.0,0.0,23917.2,-23917.2,Operating,Marketing,North America,Product Launch Q3,USD,22345.36,23917.2
2018-01-31,Expense,Rent Expense,Operating,0.0,128663.87,0.0,0.0,128663.87,-128663.87,-128663.87,0.0,0.0,0.0,0.0,0.0,0.0,128663.87,-128663.87,Operating,Operations,North America,Product Launch Q3,USD,117481.17,128663.87
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,34033.62,0.0,0.0,34033.62,-34033.62,-34033.62,0.0,0.0,0.0,0.0,0.0,0.0,34033.62,-34033.62,Operating,IT,North America,New Pricing Model 2.0,USD,29541.0,34033.62
2018-01-31,Expense,Professional Services,Operating,0.0,20776.78,0.0,0.0,20776.78,-20776.78,-20776.78,0.0,0.0,0.0,0.0,0.0,0.0,20776.78,-20776.78,Operating,Finance,Asia-Pacific,Cloud Migration,JPY,21239.28,20776.78
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,54452.72,0.0,0.0,54452.72,-54452.72,-54452.72,0.0,0.0,0.0,0.0,0.0,0.0,54452.72,-54452.72,Operating,Marketing,North America,New Pricing Model 2.0,USD,52151.77,54452.72
2018-01-31,Expense,Rent Expense,Operating,0.0,33376.09,0.0,0.0,33376.09,-33376.09,-33376.09,0.0,0.0,0.0,0.0,0.0,0.0,33376.09,-33376.09,Operating,Operations,Asia-Pacific,AI Sales Copilot,JPY,32716.03,33376.09
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,2122.55,0.0,0.0,2122.55,-2122.55,-2122.55,0.0,0.0,0.0,0.0,0.0,0.0,2122.55,-2122.55,Operating,Marketing,Europe,Market Expansion Europe,EUR,2541.81,2122.55
2018-01-31,Expense,Salaries & Wages,Operating,0.0,45044.57,0.0,0.0,45044.57,-45044.57,-45044.57,0.0,0.0,0.0,0.0,0.0,0.0,45044.57,-45044.57,Operating,HR,North America,Product Launch Q3,USD,47745.48,45044.57
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,48231.05,0.0,0.0,48231.05,-48231.05,-48231.05,0.0,0.0,0.0,0.0,0.0,0.0,48231.05,-48231.05,Operating,IT,Europe,ERP Implementation,EUR,60091.71,48231.05
2018-01-31,Expense,Insurance Expense,Operating,0.0,8459.28,0.0,0.0,8459.28,-8459.28,-8459.28,0.0,0.0,0.0,0.0,0.0,0.0,8459.28,-8459.28,Operating,Finance,Asia-Pacific,Cloud Migration,JPY,8191.85,8459.28
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,4791.33,0.0,0.0,4791.33,-4791.33,-4791.33,0.0,0.0,0.0,0.0,0.0,0.0,4791.33,-4791.33,Operating,Marketing,North America,Product Launch Q3,USD,5116.26,4791.33
2018-01-31,Expense,R&D Expense,Operating,0.0,5711.68,0.0,0.0,5711.68,-5711.68,-5711.68,0.0,0.0,0.0,0.0,0.0,0.0,5711.68,-5711.68,Operating,IT,Europe,Debt Refinancing 2024,EUR,6671.01,5711.68
2018-01-31,Expense,Rent Expense,Operating,0.0,1341.94,0.0,0.0,1341.94,-1341.94,-1341.94,0.0,0.0,0.0,0.0,0.0,0.0,1341.94,-1341.94,Operating,Operations,Europe,Debt Refinancing 2024,EUR,1209.93,1341.94
2018-01-31,Expense,Utilities Expense,Operating,0.0,71719.14,0.0,0.0,71719.14,-71719.14,-71719.14,0.0,0.0,0.0,0.0,0.0,0.0,71719.14,-71719.14,Operating,Operations,Europe,Market Expansion Europe,EUR,66327.65,71719.14
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,18783.62,0.0,0.0,18783.62,-18783.62,-18783.62,0.0,0.0,0.0,0.0,0.0,0.0,18783.62,-18783.62,Operating,Marketing,Europe,ERP Implementation,EUR,16015.03,18783.62
2018-01-31,Expense,R&D Expense,Operating,0.0,50985.75,0.0,0.0,50985.75,-50985.75,-50985.75,0.0,0.0,0.0,0.0,0.0,0.0,50985.75,-50985.75,Operating,IT,Asia-Pacific,AI Sales Copilot,JPY,44214.31,50985.75
2018-01-31,Expense,R&D Expense,Operating,0.0,3635.07,0.0,0.0,3635.07,-3635.07,-3635.07,0.0,0.0,0.0,0.0,0.0,0.0,3635.07,-3635.07,Operating,IT,Asia-Pacific,AI Sales Copilot,JPY,3074.23,3635.07
2018-01-31,Expense,R&D Expense,Operating,0.0,55280.94,0.0,0.0,55280.94,-55280.94,-55280.94,0.0,0.0,0.0,0.0,0.0,0.0,55280.94,-55280.94,Operating,IT,Africa,Digital Self-Service Portal,GBP,53805.92,55280.94
2018-01-31,Expense,Insurance Expense,Operating,0.0,22491.56,0.0,0.0,22491.56,-22491.56,-22491.56,0.0,0.0,0.0,0.0,0.0,0.0,22491.56,-22491.56,Operating,Finance,Europe,Working Capital Optimization,EUR,24076.64,22491.56
2018-01-31,Expense,Travel Expense,Operating,0.0,4083.47,0.0,0.0,4083.47,-4083.47,-4083.47,0.0,0.0,0.0,0.0,0.0,0.0,4083.47,-4083.47,Operating,Sales,Asia-Pacific,APAC Growth 2023,JPY,3426.64,4083.47
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,34689.78,0.0,0.0,34689.78,-34689.78,-34689.78,0.0,0.0,0.0,0.0,0.0,0.0,34689.78,-34689.78,Operating,Marketing,Asia-Pacific,Cloud Migration,JPY,39573.41,34689.78
2018-01-31,Expense,Salaries & Wages,Operating,0.0,59737.41,0.0,0.0,59737.41,-59737.41,-59737.41,0.0,0.0,0.0,0.0,0.0,0.0,59737.41,-59737.41,Operating,HR,Asia-Pacific,APAC Growth 2023,JPY,74236.91,59737.41
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,52743.77,0.0,0.0,52743.77,-52743.77,-52743.77,0.0,0.0,0.0,0.0,0.0,0.0,52743.77,-52743.77,Operating,Marketing,North America,New Pricing Model 2.0,USD,50273.08,52743.77
2018-01-31,Expense,Insurance Expense,Operating,0.0,10959.13,0.0,0.0,10959.13,-10959.13,-10959.13,0.0,0.0,0.0,0.0,0.0,0.0,10959.13,-10959.13,Operating,Finance,North America,New Pricing Model 2.0,USD,11256.07,10959.13
2018-01-31,Expense,Professional Services,Operating,0.0,11151.25,0.0,0.0,11151.25,-11151.25,-11151.25,0.0,0.0,0.0,0.0,0.0,0.0,11151.25,-11151.25,Operating,Finance,Africa,Working Capital Optimization,GBP,11704.09,11151.25
2018-01-31,Expense,R&D Expense,Operating,0.0,23337.83,0.0,0.0,23337.83,-23337.83,-23337.83,0.0,0.0,0.0,0.0,0.0,0.0,23337.83,-23337.83,Operating,IT,North America,Customer 360 Initiative,USD,23445.72,23337.83
2018-01-31,Expense,Professional Services,Operating,0.0,14893.39,0.0,0.0,14893.39,-14893.39,-14893.39,0.0,0.0,0.0,0.0,0.0,0.0,14893.39,-14893.39,Operating,Finance,Asia-Pacific,AI Sales Copilot,JPY,13830.76,14893.39
2018-01-31,Expense,Utilities Expense,Operating,0.0,47702.11,0.0,0.0,47702.11,-47702.11,-47702.11,0.0,0.0,0.0,0.0,0.0,0.0,47702.11,-47702.11,Operating,Operations,North America,Cybersecurity Hardening,USD,53420.88,47702.11
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,46608.32,0.0,0.0,46608.32,-46608.32,-46608.32,0.0,0.0,0.0,0.0,0.0,0.0,46608.32,-46608.32,Operating,IT,Europe,Market Expansion Europe,EUR,41145.91,46608.32
2018-01-31,Expense,Travel Expense,Operating,0.0,15253.74,0.0,0.0,15253.74,-15253.74,-15253.74,0.0,0.0,0.0,0.0,0.0,0.0,15253.74,-15253.74,Operating,Sales,Asia-Pacific,AI Sales Copilot,JPY,14809.61,15253.74
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,38597.2,0.0,0.0,38597.2,-38597.2,-38597.2,0.0,0.0,0.0,0.0,0.0,0.0,38597.2,-38597.2,Operating,IT,North America,New Pricing Model 2.0,USD,36380.15,38597.2
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,81822.09,0.0,0.0,81822.09,-81822.09,-81822.09,0.0,0.0,0.0,0.0,0.0,0.0,81822.09,-81822.09,Operating,Marketing,Middle East,Middle East Distributor Program,USD,72338.48,81822.09
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,99445.88,0.0,0.0,99445.88,-99445.88,-99445.88,0.0,0.0,0.0,0.0,0.0,0.0,99445.88,-99445.88,Operating,IT,North America,Customer 360 Initiative,USD,106251.32,99445.88
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,32812.08,0.0,0.0,32812.08,-32812.08,-32812.08,0.0,0.0,0.0,0.0,0.0,0.0,32812.08,-32812.08,Operating,Marketing,Middle East,ERP Implementation,USD,36092.18,32812.08
2018-01-31,Expense,Insurance Expense,Operating,0.0,50069.71,0.0,0.0,50069.71,-50069.71,-50069.71,0.0,0.0,0.0,0.0,0.0,0.0,50069.71,-50069.71,Operating,Finance,Asia-Pacific,Cloud Migration,JPY,45743.22,50069.71
2018-01-31,Expense,R&D Expense,Operating,0.0,30354.12,0.0,0.0,30354.12,-30354.12,-30354.12,0.0,0.0,0.0,0.0,0.0,0.0,30354.12,-30354.12,Operating,IT,Middle East,Middle East Distributor Program,USD,27564.98,30354.12
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,14136.02,0.0,0.0,14136.02,-14136.02,-14136.02,0.0,0.0,0.0,0.0,0.0,0.0,14136.02,-14136.02,Operating,Marketing,North America,New Pricing Model 2.0,USD,16738.89,14136.02
2018-01-31,Expense,R&D Expense,Operating,0.0,94394.2,0.0,0.0,94394.2,-94394.2,-94394.2,0.0,0.0,0.0,0.0,0.0,0.0,94394.2,-94394.2,Operating,IT,Middle East,ERP Implementation,USD,94850.39,94394.2
2018-01-31,Expense,Insurance Expense,Operating,0.0,28376.8,0.0,0.0,28376.8,-28376.8,-28376.8,0.0,0.0,0.0,0.0,0.0,0.0,28376.8,-28376.8,Operating,Finance,North America,Cybersecurity Hardening,USD,32585.28,28376.8
2018-01-31,Expense,Rent Expense,Operating,0.0,21223.9,0.0,0.0,21223.9,-21223.9,-21223.9,0.0,0.0,0.0,0.0,0.0,0.0,21223.9,-21223.9,Operating,Operations,Middle East,Digital Self-Service Portal,USD,19087.9,21223.9
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,33755.71,0.0,0.0,33755.71,-33755.71,-33755.71,0.0,0.0,0.0,0.0,0.0,0.0,33755.71,-33755.71,Operating,IT,North America,Customer 360 Initiative,USD,32234.23,33755.71
2018-01-31,Expense,R&D Expense,Operating,0.0,2615.35,0.0,0.0,2615.35,-2615.35,-2615.35,0.0,0.0,0.0,0.0,0.0,0.0,2615.35,-2615.35,Operating,IT,Asia-Pacific,Data Platform Modernization,JPY,2306.07,2615.35
2018-01-31,Expense,Rent Expense,Operating,0.0,282394.92,0.0,0.0,282394.92,-282394.92,-282394.92,0.0,0.0,0.0,0.0,0.0,0.0,282394.92,-282394.92,Operating,Operations,North America,Customer 360 Initiative,USD,244575.91,282394.92
2018-01-31,Expense,Salaries & Wages,Operating,0.0,56018.41,0.0,0.0,56018.41,-56018.41,-56018.41,0.0,0.0,0.0,0.0,0.0,0.0,56018.41,-56018.41,Operating,HR,Europe,Working Capital Optimization,EUR,67966.81,56018.41
2018-01-31,Expense,Professional Services,Operating,0.0,65281.13,0.0,0.0,65281.13,-65281.13,-65281.13,0.0,0.0,0.0,0.0,0.0,0.0,65281.13,-65281.13,Operating,Finance,Asia-Pacific,APAC Growth 2023,JPY,69976.68,65281.13
2018-01-31,Expense,Salaries & Wages,Operating,0.0,66538.41,0.0,0.0,66538.41,-66538.41,-66538.41,0.0,0.0,0.0,0.0,0.0,0.0,66538.41,-66538.41,Operating,HR,Asia-Pacific,AI Sales Copilot,JPY,76431.38,66538.41
2018-01-31,Expense,Professional Services,Operating,0.0,64240.05,0.0,0.0,64240.05,-64240.05,-64240.05,0.0,0.0,0.0,0.0,0.0,0.0,64240.05,-64240.05,Operating,Finance,Middle East,ERP Implementation,USD,60218.12,64240.05
2018-01-31,Expense,Rent Expense,Operating,0.0,26498.0,0.0,0.0,26498.0,-26498.0,-26498.0,0.0,0.0,0.0,0.0,0.0,0.0,26498.0,-26498.0,Operating,Operations,Asia-Pacific,Cloud Migration,JPY,26574.19,26498.0
2018-01-31,Expense,Professional Services,Operating,0.0,42665.67,0.0,0.0,42665.67,-42665.67,-42665.67,0.0,0.0,0.0,0.0,0.0,0.0,42665.67,-42665.67,Operating,Finance,Asia-Pacific,AI Sales Copilot,JPY,38359.34,42665.67
2018-01-31,Expense,Professional Services,Operating,0.0,66316.54,0.0,0.0,66316.54,-66316.54,-66316.54,0.0,0.0,0.0,0.0,0.0,0.0,66316.54,-66316.54,Operating,Finance,North America,New Pricing Model 2.0,USD,56096.68,66316.54
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,11528.1,0.0,0.0,11528.1,-11528.1,-11528.1,0.0,0.0,0.0,0.0,0.0,0.0,11528.1,-11528.1,Operating,IT,North America,Cybersecurity Hardening,USD,14235.83,11528.1
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,69086.92,0.0,0.0,69086.92,-69086.92,-69086.92,0.0,0.0,0.0,0.0,0.0,0.0,69086.92,-69086.92,Operating,IT,Africa,Automation Wave 2022,GBP,74736.29,69086.92
2018-01-31,Expense,Insurance Expense,Operating,0.0,116751.16,0.0,0.0,116751.16,-116751.16,-116751.16,0.0,0.0,0.0,0.0,0.0,0.0,116751.16,-116751.16,Operating,Finance,Middle East,Middle East Distributor Program,USD,111079.75,116751.16
2018-01-31,Expense,Salaries & Wages,Operating,0.0,10350.19,0.0,0.0,10350.19,-10350.19,-10350.19,0.0,0.0,0.0,0.0,0.0,0.0,10350.19,-10350.19,Operating,HR,Asia-Pacific,Cloud Migration,JPY,9397.15,10350.19
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,78597.72,0.0,0.0,78597.72,-78597.72,-78597.72,0.0,0.0,0.0,0.0,0.0,0.0,78597.72,-78597.72,Operating,IT,Middle East,ERP Implementation,USD,78268.02,78597.72
2018-01-31,Expense,Professional Services,Operating,0.0,18470.16,0.0,0.0,18470.16,-18470.16,-18470.16,0.0,0.0,0.0,0.0,0.0,0.0,18470.16,-18470.16,Operating,Finance,North America,Product Launch Q3,USD,20244.97,18470.16
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,4183.75,0.0,0.0,4183.75,-4183.75,-4183.75,0.0,0.0,0.0,0.0,0.0,0.0,4183.75,-4183.75,Operating,Marketing,Middle East,Middle East Distributor Program,USD,3645.29,4183.75
2018-01-31,Expense,Marketing & Advertising,Operating,0.0,33930.64,0.0,0.0,33930.64,-33930.64,-33930.64,0.0,0.0,0.0,0.0,0.0,0.0,33930.64,-33930.64,Operating,Marketing,North America,Customer 360 Initiative,USD,29983.88,33930.64
2018-01-31,Expense,Salaries & Wages,Operating,0.0,14217.68,0.0,0.0,14217.68,-14217.68,-14217.68,0.0,0.0,0.0,0.0,0.0,0.0,14217.68,-14217.68,Operating,HR,Middle East,Middle East Distributor Program,USD,16161.5,14217.68
2018-01-31,Expense,R&D Expense,Operating,0.0,134445.52,0.0,0.0,134445.52,-134445.52,-134445.52,0.0,0.0,0.0,0.0,0.0,0.0,134445.52,-134445.52,Operating,IT,North America,New Pricing Model 2.0,USD,139936.5,134445.52
2018-01-31,Expense,R&D Expense,Operating,0.0,7797.86,0.0,0.0,7797.86,-7797.86,-7797.86,0.0,0.0,0.0,0.0,0.0,0.0,7797.86,-7797.86,Operating,IT,North America,New Pricing Model 2.0,USD,9397.57,7797.86
2018-01-31,Expense,Utilities Expense,Operating,0.0,136875.6,0.0,0.0,136875.6,-136875.6,-136875.6,0.0,0.0,0.0,0.0,0.0,0.0,136875.6,-136875.6,Operating,Operations,Asia-Pacific,Data Platform Modernization,JPY,120546.37,136875.6
2018-01-31,Expense,Professional Services,Operating,0.0,13629.6,0.0,0.0,13629.6,-13629.6,-13629.6,0.0,0.0,0.0,0.0,0.0,0.0,13629.6,-13629.6,Operating,Finance,Middle East,ERP Implementation,USD,16768.46,13629.6
2018-01-31,Expense,Travel Expense,Operating,0.0,6220.09,0.0,0.0,6220.09,-6220.09,-6220.09,0.0,0.0,0.0,0.0,0.0,0.0,6220.09,-6220.09,Operating,Sales,Asia-Pacific,AI Sales Copilot,JPY,5893.0,6220.09
2018-01-31,Expense,IT Software Subscriptions,Operating,0.0,70598.61,0.0,0.0,70598.61,-70598.61,-70598.61,0.0,0.0,0.0,0.0,0.0,0.0,70598.61,-70598.61,Operating,IT,Asia-Pacific,Cloud Migration,JPY,66686.79,70598.61
2018-01-31,Expense,Depreciation Expense,Operating,0.0,20819.72,0.0,0.0,20819.72,-20819.72,-20819.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Operating,Finance,Middle East,Capital Base Depreciation,USD,18453.85,20819.72
2018-01-31,Expense,Depreciation Expense,Operating,0.0,117626.43,0.0,0.0,117626.43,-117626.43,-117626.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Operating,Finance,Middle East,Capital Base Depreciation,USD,127086.04,117626.43
2018-01-31,Expense,Interest Expense,Financing,0.0,291089.03,0.0,0.0,0.0,0.0,-291089.03,0.0,0.0,0.0,0.0,0.0,0.0,291089.03,-291089.03,Financing,Finance,Middle East,Debt Servicing,USD,249117.52,291089.03
2018-01-31,Expense,Income Tax Expense,Taxes,0.0,445094.81,0.0,0.0,0.0,0.0,-445094.81,0.0,0.0,0.0,0.0,0.0,0.0,445094.81,-445094.81,Operating,Finance,North America,Tax Provision,USD,427808.09,445094.81
2018-01-31,Asset,Cash and Cash Equivalents,Operating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25406475.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Operating,Finance,Africa,Company-Wide,GBP,24773470.47,25406475.75
2018-01-31,Asset,Accounts Receivable,Operating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21936874.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Operating,Finance,Europe,Company-Wide,EUR,23924343.18,21936874.17
2018-01-31,Asset,Inventory,Operating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8639118.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Operating,Finance,Middle East,Company-Wide,USD,7207599.51,8639118.51
2018-01-31,Asset,Prepaid Expenses,Operating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2663336.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Operating,Finance,North America,Company-Wide,USD,3163669.26,2663336.37
2018-01-31,Asset,"Property, Plant & Equipment",Investing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47612716.58,0.0,0.0,0.0,0.0,0.0,0.0,Investing,Finance,Africa,Company-Wide,GBP,48826888.6,47612716.58
2018-01-31,Asset,Intangible Assets,Investing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60514519.19,0.0,0.0,0.0,0.0,0.0,0.0,Investing,Finance,Europe,Company-Wide,EUR,69148429.31,60514519.19
